Barrio,Score_Similitud,SALUT,TRANSPORTE,PRECIO,OCIO,SEGURIDAD,DENSIDAD_POBLACION
West Los Angeles,0.0000,0.1004,0.6125,0.2483,0.0160,0.1240,0.4521
Cheviot Hills,0.0000,0.1371,0.2875,0.4777,0.0000,0.5651,0.3172
Atwater Village,0.0000,0.1601,0.1125,0.3162,0.0160,0.4973,0.4793
Arlington Heights,0.0000,0.1010,0.1125,0.1645,0.0240,0.3223,0.7237
Beverly Crest,0.0000,0.2391,0.0375,0.6136,0.0280,0.3317,0.5321
Leimert Park,0.0000,0.1404,0.3625,0.2171,0.0240,0.6019,0.5905
Cypress Park,0.0000,0.1281,0.1125,0.2065,0.0280,0.4325,0.6075
Crestview,0.0000,0.2437,0.1125,0.2927,0.0240,0.4246,0.5151
Chinatown,0.0000,0.0583,0.3625,0.3597,0.0320,0.4997,0.5510
Playa Vista,0.0000,0.1918,0.2375,0.3993,0.0493,0.4017,0.5499
Montecito Heights,0.0000,0.1091,0.1125,0.2330,0.0280,0.3578,0.4632
Beverlywood,0.0000,0.1348,0.1125,0.4235,0.0302,0.2901,0.5207
Toluca Lake,0.0000,0.1234,0.1125,0.2693,0.0280,0.4813,0.4384
Crenshaw,0.0000,0.1152,0.3625,0.2530,0.0200,0.3821,0.5161
Bel Air,0.0000,0.2447,0.0375,1.0000,0.0125,0.4825,0.2689
Elysian Valley,0.0000,0.1875,0.1000,0.1626,0.0320,0.3661,0.5444
Century City,0.0000,0.1216,0.2250,0.3587,0.1033,0.3723,0.4608
University Hills,0.0000,0.2354,0.0375,0.0765,0.0040,0.3884,0.3405
Shadow Hills,0.0000,0.2344,0.0125,0.2107,0.0040,0.4212,0.3422
Hermon,0.0000,0.1146,0.1125,0.2707,0.0280,0.4393,0.5278
South Carthay,0.0000,0.0728,0.1125,0.4710,0.0280,0.4758,0.6736
La Tuna Canyon,0.0000,0.2200,0.0000,0.3223,0.0320,0.4168,0.3000
Beverly Glen,0.0000,0.1296,0.1125,0.3409,0.0320,0.4124,0.5273
Elysian Park,0.0000,0.1304,0.1125,0.2040,0.0200,0.5291,0.4909
